company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,operating_activity,investing_activity,financing_activity,net_cash_flow,company_name,id,peer_group,is_benchmark,return_on_equity_pct_percentile,operating_profit_margin_pct_percentile,net_profit_margin_pct_percentile,debt_to_equity_percentile,free_cash_flow_cr_percentile,interest_coverage_percentile,asset_turnover_percentile,market_cap_crore_percentile,pe_ratio_percentile,dividend_yield_pct_percentile
ABB,,12.23,16.0,22.41,0.0,359.0,1.2509,242.0,257.0,212.0,9.5619,31.0,0,499.0,,,,,,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,,,,,,Abbott India Ltd,,No peer group assigned,,0.6924686192468619,0.3469601677148847,0.5482180293501048,0.9518828451882845,0.4456066945606695,0.9728260869565217,0.7557651991614256,,,
ABB,,12.23,16.0,22.41,0.0,359.0,1.2509,-459.0,3050.0,212.0,9.5619,31.0,0,2591.0,,,,,,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,,,,,,Abbott India Ltd,,No peer group assigned,,0.6924686192468619,0.3469601677148847,0.5482180293501048,0.9518828451882845,0.25418410041841005,0.9728260869565217,0.7557651991614256,,,
ABB,,14.49,18.0,24.39,0.072,96.7778,1.1539,225.0,401.0,279.0,11.5762,90.0,175,626.0,,,,,,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,,,,,,Abbott India Ltd,,No peer group assigned,,0.7311715481171548,0.42138364779874216,0.6446540880503144,0.6642259414225942,0.44142259414225943,0.875,0.7033542976939203,,,
ABB,,14.49,18.0,24.39,0.072,96.7778,1.1539,-206.0,5643.0,279.0,11.5762,90.0,175,5437.0,,,,,,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,,,,,,Abbott India Ltd,,No peer group assigned,,0.7311715481171548,0.42138364779874216,0.6446540880503144,0.6642259414225942,0.2897489539748954,0.875,0.7033542976939203,,,
ABB,,16.03,21.0,26.56,0.0588,55.7222,1.1224,655.0,72.0,325.0,12.3905,85.0,153,727.0,,,,,,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,,,,,,Abbott India Ltd,,No peer group assigned,,0.7981171548117155,0.5125786163522013,0.7054507337526206,0.6976987447698745,0.5878661087866108,0.7945652173913044,0.6865828092243187,,,
ABB,,16.03,21.0,26.56,0.0588,55.7222,1.1224,-225.0,4009.0,325.0,12.3905,85.0,153,3784.0,,,,,,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,,,,,,Abbott India Ltd,,No peer group assigned,,0.7981171548117155,0.5125786163522013,0.7054507337526206,0.6976987447698745,0.28556485355648537,0.7945652173913044,0.6865828092243187,,,
ABB,,16.26,22.0,28.33,0.0539,61.3158,1.1631,552.0,396.0,376.0,13.4286,73.0,152,948.0,,,,,,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,,,,,,Abbott India Ltd,,No peer group assigned,,0.8190376569037657,0.5482180293501048,0.7117400419287212,0.7102510460251046,0.5564853556485355,0.8184782608695652,0.709643605870021,,,
ABB,,16.26,22.0,28.33,0.0539,61.3158,1.1631,161.0,3936.0,376.0,13.4286,73.0,152,4097.0,,,,,,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,,,,,,Abbott India Ltd,,No peer group assigned,,0.8190376569037657,0.5482180293501048,0.7117400419287212,0.7102510460251046,0.4131799163179916,0.8184782608695652,0.709643605870021,,,
ABB,,17.74,23.0,29.77,0.0354,85.0,1.1741,745.0,148.0,447.0,15.181,73.0,113,893.0,,,,,,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,,,,,,Abbott India Ltd,,No peer group assigned,,0.8378661087866108,0.5765199161425576,0.7389937106918238,0.7332635983263598,0.6171548117154811,0.8532608695652174,0.7180293501048218,,,
ABB,,17.74,23.0,29.77,0.0354,85.0,1.1741,-922.0,4699.0,447.0,15.181,73.0,113,3777.0,,,,,,,6066.0,4519.0,1547.0,26.0,265.0,11.0,72.0,1728.0,,1285.0,605.0,,,,,,,,,,,,,,,,Abbott India Ltd,,No peer group assigned,,0.8378661087866108,0.5765199161425576,0.7389937106918238,0.7332635983263598,0.23117154811715482,0.8532608695652174,0.7180293501048218,,,
