company_id,company_name,dividend_yield_pct
NESTLEIND,Nestle India Ltd,
NHPC,"NHPC Ltd
",
NAUKRI,Info Edge (India) Ltd,
MOTHERSON,Samvardhana Motherson International Ltd,
MARUTI,Maruti Suzuki India Ltd,
NTPC,NTPC Ltd,
ONGC,Oil & Natural Gas Corpn Ltd,
PIDILITIND,Pidilite Industries Ltd,
PFC,Power Finance Corporation Ltd,
JINDALSTEL,Jindal Steel & Power Ltd,
